Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
34	SHE	HAS	ABOUT
34	SHE	HAD	SHORT
34	SHE	HAD	BUILT
34	SAY	THIS	MORN(I)NG
34	OUT	THAT	WOMEN
34	OUT	AND	RAISE
34	OUT	AND	PARTY
34	OUT	AND	MAYBE
34	OUR	OWN	TIMES
34	OUR	OWN	HEARTS
34	ONE	THAT	NEUER
34	ONE	CAN	TRACE
34	NOW	THIS	MORN(I)NG
34	NOT	THAT	SMART
34	NOT	FIT	NEATLY
34	NOT	ASC	ABOUT
34	NOD	AND	SMILE
34	NEW	LAW	WOULD
34	NEW	CAR	SALES
34	NEW	AND	OFTEN
34	MEN	AND	WOMAN
34	MEN	AND	BLACC
34	MAN	WHO	HIRED
34	MAN	WAS	RIGHT
34	LET	HIM	WATCH
34	ITS	OWN	UOICE
34	ITS	OWN	STORY
34	ITS	OWN	SMALL
34	HOW	THAT	FEELS
34	HOW	SHE	LOUED
34	HIS	OWN	WEDD(I)NG
34	HIS	OWN	PLANS
34	HIS	DEAD	MOTHER
34	HIM	FOR	MONEY
34	HIM	AND	SHOOC
34	HIM	AND	NEUER
34	HIM	AND	COULD
34	HIM	ALL	RIGHT
34	HER	THEY	WOULD
34	HER	HEAD	UNTIL
34	HAS	HER	HANDS
34	HAS	NOT	ENDED
34	HAD	HIS	MOTHER
34	HAD	HER	SHARE
34	GUY	WHO	TACES
34	GUY	WHO	LIUED
34	FOR	THIS	STAGE
34	FOR	TWO	WHOLE
34	FOR	TWO	MILES
34	FOR	OUR	WHOLE
34	FOR	HIS	LEGAL
34	FOR	HER	RIGHT
34	FEAR	AND	GUILT
34	EACH	DAY	AFTER
34	DOES	NOT	DETER
34	DOES	NOT	ARGUE
34	DID	YOU	WORRY
34	DID	THIS	START
34	DID	NOT	LIMIT
34	DID	NOT	BUILD
34	DID	ALL	CINDS
34	CID	WHO	COULD
34	CAN	YOU	SPELL
34	CAN	YOU	AUOID
34	CAN	NOT	CROSS
34	CAN	GET	RIGHT
34	BUT	WHO	REALLY
34	BUT	THEN	LATER
34	BUT	THAT	COMES
34	BUT	NOT	CLOSE
34	BUT	HIS	STORY
34	BUT	HER	SMILE
34	BR(I)NG	THIS	ABOUT
34	BOY	WHO	CRIED
34	BIG	OLD	HOUSE
34	BE(I)NG	OUR	GUEST
34	BED	EACH	NIGHT
34	ARE	YOU	RIGHT
34	ARE	TWO	WORDS
34	ARE	NOT	TAXED
34	ARE	NOT	ABOUE
34	ARE	DO(I)NG	TODAY
34	ARE	DEAD	AFTER
34	AND	YOU	AGREE
34	AND	WAS	TALC(I)NG
34	AND	WAS	FEEL(I)NG
34	AND	THEY	WRITE
34	AND	THEN	WHILE
34	AND	THEN	CLOSE
34	AND	SHE	LEAUES
34	AND	SEX	APPEAL
34	AND	OUR	PANEL
34	AND	OFF	SINCE
34	AND	ITS	LOCAL
34	AND	ITS	GROW(I)NG
34	AND	HIS	LEGAL
34	AND	HIS	BOOTS
34	AND	HER	PURSE
34	AND	GOES	AFTER
34	AND	GAY	PEOPLE
34	AND	CUT	TAXES
34	ALL	THAT	STOOD
34	ALL	THAT	HAPPY
34	ALL	SHE	REALLY
34	AGO	ARE	STILL
33	YOU	PUT	PEOPLE
33	YOU	MAY	BEGIN
33	YOU	GET	LUCCY
33	YOU	CAN	SCORE
33	YOU	ARE	WAIT(I)NG
33	YOU	ARE	HU(I)NGRY
33	YOU	ALL	WOULD
33	YEAR	FOR	EUERY
33	WITH	THAT	LEUEL
33	WITH	OUR	MOTHER
33	WITH	NEW	PEOPLE
33	WITH	HIS	SENSE
33	WITH	HIS	LOUER
33	WITH	HER	WHOLE
33	WHY	YOU	NEUER
33	WHY	SHE	THINCS
33	WHO	WAS	WHITE
33	WHO	WAS	NEARLY
33	WHO	ARE	LUCCY
33	WAY	THAT	WOMEN
33	WAS	THIS	SENSE
33	WAS	THAT	CLOSE
33	WAS	NOT	SORRY
33	WAS	NOT	SHOW(I)NG
33	WAS	NOT	PROUD
33	WAS	NOT	HUMAN
33	WAS	NOT	BLACC
33	WAS	NOT	ALIUE
33	WAR	THAT	BEGAN
33	THEY	HAD	PEOPLE
33	THEY	HAD	DRAWN
33	THEY	GET	BORED
33	THEY	CAN	SMELL
33	THEY	CAN	ENTER
33	THEY	ARE	WHERE
33	THEY	ARE	TREAT(I)NG
33	THEN	YOU	OUGHT
33	THEN	THIS	MORN(I)NG
33	THEN	SHE	TELLS
33	THEN	SHE	SPOCE
33	THEM	FOR	MONEY
33	THEM	AND	OTHERS
33	THAT	WAS	SCARY
33	THAT	WAS	CILL(I)NG
33	THAT	THIS	WHITE
33	THAT	SHE	PLANS
33	THAT	SHE	FEARED
33	THAT	HAS	TRIED
33	THAT	DAY	WOULD
33	THAT	ARE	STRO(I)NG
33	THAT	ANY	GROUP
33	THAN	DID	GIRLS
33	TRY	THIS	TWIST
33	TOES	AND	F(I)NGERS
33	TEAR	THEM	APART
33	TEAM	THAT	PLAYS
33	SHE	WAS	THROW(I)NG
33	SHE	HAD	NEARLY
33	SHE	CAN	COUNT
33	SAY	THIS	AGAIN
33	SAW	HIM	SITT(I)NG
33	READ	HIS	BOOCS
33	READ	AND	REREAD
33	PUT	OUT	FIRES
33	PAY	FOR	CHILD
33	OUT	AND	WALCS
33	OUT	AND	CHECC
33	ONE	WHO	LIUES
33	ONE	WAS	TALC(I)NG
33	ONE	THAT	STILL
33	ONE	CAN	BEGIN
33	ONE	BIG	PARTY
33	OFF	HER	DRESS
33	NOT	FOR	MONEY
33	MAN	WAS	FOUND
33	LOW	EARTH	ORBIT
33	LO(I)NG	THEY	WOULD
33	ITS	OWN	PLACE
33	ITS	OWN	NEEDS
33	HOW	THAT	PLAYS
33	HOT	AND	SPICY
33	HOT	AND	MUGGY
33	HIS	OWN	NEEDS
33	HIS	HEAD	ABOUE
33	HIM	SHE	COULD
33	HEAR	HER	STORY
33	HER	OWN	WEDD(I)NG
33	HER	OWN	FLESH
33	HAS	THIS	STORY
33	HAS	NOT	ASCED
33	HAS	NOT	BEGUN
33	HAD	THIS	UISION
33	HAD	LO(I)NG	CNOWN
33	HAD	ANY	INCL(I)NG
33	HAD	NOT	THROWN
33	GUY	WHO	COMES
33	GOT	HIS	MONEY
33	GET	GO(I)NG	AGAIN
33	FOR	YOU	UNTIL
33	FOR	THIS	PARTY
33	FOR	THEM	UNTIL
33	FOR	ONE	PARTY
33	FOR	NEW	FORMS
33	FOR	LAW	FIRMS
33	FOR	HIS	WRIT(I)NG
33	FOR	HIS	SCILL
33	FOR	HER	PEOPLE
33	FOR	EACH	STUDY
33	FOR	ANY	MONEY
33	DOES	NOT	EASILY
33	DOES	NOT	ARGUE
33	DOES	NOT	SHOOT
33	DO(I)NG	THIS	AGAIN
33	DOG	WAS	BARC(I)NG
33	DID	YOU	TOUCH
33	DID	YOU	DRIUE
33	DID	NOT	WAUER
33	DID	NOT	GRANT
33	DID	NOT	WAUER
33	DID	NOT	DRESS
33	DID	NOT	DANCE
33	CAR	THAT	WOULD
33	CAR	AND	BEGAN
33	CAN	NOT	ADMIT
33	CAN	GET	ABOUT
33	BUT	THAT	TACES
33	BUT	SHE	ASCED
33	BUT	NOT	SINCE
33	BR(I)NG	THAT	ABOUT
33	BIG	AND	ROUND
33	BE(I)NG	TOO	CLOSE
33	BED	THIS	MORN(I)NG
33	BED	ONE	NIGHT
33	ASC	YOU	WHERE
33	ASC	HER	WHERE
33	ARE	TOO	TIRED
33	ARE	NOT	WAIT(I)NG
33	ARE	ALL	HUMAN
33	ARE	ALL	GETT(I)NG
33	AND	YOU	PEOPLE
33	AND	YOU	ALONE
33	AND	WAS	FIRED
33	AND	WAS	BUILT
33	AND	THEY	AGREE
33	AND	THEN	STAND
33	AND	THEN	REPEAT
33	AND	THEN	PULL(I)NG
33	AND	THEN	ENTER
33	AND	THAT	GROUP
33	AND	THAT	BLACC
33	AND	TWO	WHITE
33	AND	TEN	TIMES
33	AND	OLD	WORLD
33	AND	NOW	STOOD
33	AND	NOT	FIND(I)NG
33	AND	ITS	CLOSE
33	AND	HOW	STRO(I)NG
33	AND	HIS	STYLE
33	AND	HIS	PANTS
33	AND	HIS	BOOCS
33	AND	CAN	OFTEN
33	AND	ARE	REALLY
33	AND	ARE	CWITE
33	ALL	HIS	STUFF
33	ALL	HIS	ADULT
33	NOT	YET	EXIST
33	NOT	PAY	ANYTH(I)NG
33	NOT	ANY	LO(I)NGER
32	YOU	THAT	STORY
32	YOU	THAT	EUERY
32	YOU	SAY	PEOPLE
32	YOU	GET	FIRED
32	YOU	BOTH	ABOUT
32	YOU	ARE	AFTER
32	WITH	THAT	COMES
32	WITH	TWO	COATS
32	WITH	OUR	F(I)NGERS
32	WITH	ONE	FINAL
32	WITH	HIS	GLOUE
32	WHY	DID	PEOPLE
32	WHO	WAS	SELL(I)NG
32	WHO	HAS	STOOD
32	WHO	HAS	DRAWN
32	WHO	ARE	CEEP(I)NG
32	WAY	TOO	SMALL
32	WAY	SHE	WANTS
32	WAS	THIS	WHOLE
32	WAS	NOT	WITHIN
32	WAS	HIS	UOICE
32	WAS	HIS	HOUSE
32	WAS	FOR	PEOPLE
32	WAS	NOT	PUTT(I)NG
32	WAS	NOT	HEALTHY
32	WAS	NOT	DRIU(I)NG
32	TH(I)NGS	THAT	WOMEN
32	THIS	WAS	TRULY
32	THIS	WAS	FIRST
32	THIS	GUY	WANTS
32	THEY	GET	REALLY
32	THEY	CAN	CLAIM
32	THEY	ARE	WRIT(I)NG
32	THEY	ARE	SETT(I)NG
32	THEY	ARE	FALL(I)NG
32	THEY	ARE	CWIET
32	THEY	ARE	AGAIN
32	THEY	ALL	BEGAN
32	THEN	YOU	NEUER
32	THEN	WHO	CNOWS
32	THEM	THAT	NIGHT
32	THEM	ARE	WORC(I)NG
32	THAT	WAS	WILL(I)NG
32	THAT	WAS	LACC(I)NG
32	THAT	WAS	FILED
32	THAT	WAS	EASILY
32	THAT	THIS	SHIFT
32	THAT	THEY	WROTE
32	THAT	THEY	ACTED
32	THAT	LO(I)NG	SINCE
32	THAT	HEAD	START
32	THAT	HAD	LIUED
32	THAT	CAN	DRIUE
32	THAT	ARE	SITT(I)NG
32	THAT	ARE	HOLD(I)NG
32	THAT	ANY	CHILD
32	THAN	OUR	SHARE
32	SUN	AND	SHADE
32	SHE	WAS	CUTT(I)NG
32	SHE	HAS	OFTEN
32	SET	FOR	MARCH
32	SAY	THAT	COULD
32	SAW	HIM	WALC(I)NG
32	READ	NOR	WRITE
32	PUT	HIS	RIGHT
32	OUT	FOR	MONTHS
32	OUT	FOR	BLOOD
32	ONE	YOU	COULD
32	ONE	WHO	WROTE
32	ONE	WHO	SEEMS
32	ONE	FOR	WOMEN
32	OLD	MAN	STOOD
32	OLD	MAN	ASCED
32	OIL	AND	SEASON
32	OFF	HIS	FIRST
32	NOT	YET	GIUEN
32	NOT	USE	FORCE
32	NOT	SEE	WHERE
32	MAN	WHO	FOUND
32	ITS	OWN	LOGIC
32	ITS	NEW	OWNER
32	HOW	YOU	COUNT
32	HOW	OLD	WOULD
32	HIS	OWN	PHONE
32	HIS	OWN	CHAIR
32	HIS	OWN	BOOCS
32	HIS	LO(I)NG	WHITE
32	HIM	AND	MOUED
32	HEAT	AND	ALLOW
32	HER	OWN	POWER
32	HER	NEW	HOUSE
32	HER	MOM	WOULD
32	HAD	THIS	WHOLE
32	HAD	TWO	HOURS
32	GUY	WHO	MIGHT
32	GUN	AND	SHOOT
32	GOT	ALL	SORTS
32	GET	YOU	WHERE
32	GET	HER	BEAR(I)NGS
32	FOR	YOU	AGAIN
32	FOR	THEM	EUERY
32	FOR	ONE	WOMAN
32	FOR	HOT	WATER
32	FOR	HIS	STAFF
32	FOR	ANY	MAJOR
32	FOR	ALL	OTHERS
32	FOR	ALL	MAJOR
32	DOES	THIS	STORY
32	DOES	THAT	WORRY
32	DOES	NOT	TRACC
32	DOES	NOT	BLAME
32	DID	YOU	FIGHT
32	DID	THAT	FIRST
32	DID	NOT	WATCH
32	DID	NOT	REPEAT
32	DID	NOT	GRASP
32	DID	NOT	CROSS
32	CAN	GET	MONEY
32	BUT	THAT	PEOPLE
32	BET	YOU	WOULD
32	AREA	THAT	NEEDS
32	ARE	TWO	PARTS
32	ARE	TOO	CWICC
32	ARE	NOW	LEARN(I)NG
32	ARE	NOT	WITHIN
32	ARE	NOT	HUMAN
32	ARE	DY(I)NG	EUERY
32	ANY	AGE	GROUP
32	AND	WAS	NEARLY
32	AND	THIS	EUEN(I)NG
32	AND	THEY	SHOOT
32	AND	THEN	WALC(I)NG
32	AND	THEN	GIUEN
32	AND	THEN	DROPS
32	AND	THAT	SINCE
32	AND	SEE	ABOUT
32	AND	OUR	SOCIOL
32	AND	NOT	UNDER
32	AND	LY(I)NG	ABOUT
32	AND	ITS	PRICE
32	AND	HIS	MERRY
32	AND	HER	PARTY
32	AND	HER	MUSIC
32	AND	ALL	WOMEN
32	ALL	THAT	SPACE
32	ALL	DAY	WHILE
32	AGO	YOU	COULD
32	NOT	YOU	PEOPLE
32	NOT	SAY	ANYTH(I)NG
32	NOT	SAY	ABOUT
32	NOT	BAD	EITHER
31	YOU	ONE	CWICC
31	YOU	GOT	MONEY
31	YOU	ARE	GROW(I)NG
31	YOU	ARE	CILL(I)NG
31	YOU	ANY	MONEY
31	WITH	THEM	SINCE
31	WITH	OUR	GROUP
31	WITH	HIS	COACH
31	WITH	HER	BLOOD
31	WHY	THEY	NEUER
31	WHY	NOT	ALLOW
31	WHO	NOW	PLAYS
31	WHO	HAD	EITHER
31	WHO	CAN	CHA(I)NGE
31	WHO	ARE	JOIN(I)NG
31	WHO	ARE	CILL(I)NG
31	WAY	THAT	REALLY
31	WAS	THEN	WORC(I)NG
31	WAS	THEN	TACEN
31	WAS	SIX	WEECS
31	TH(I)NGS	ARE	NEUER
31	THIS	NEW	STORY
31	THEY	TOO	WOULD
31	THEY	CAN	ADAPT
31	THEY	ARE	UPSET
31	THEY	ARE	RAIS(I)NG
31	THEN	SHE	TACES
31	THEM	AND	START
31	THAT	WAS	SEUEN
31	THAT	THEY	SPOCE
31	THAT	ONE	WOMAN
31	THAT	ONE	SMALL
31	THAT	OLD	BLACC
31	THAT	HU(I)NG	ABOUE
31	THAT	HAD	BLOWN
31	THAT	GOES	RIGHT
31	THAT	ARE	SMALL
31	THAT	ARE	CEEP(I)NG
31	THAT	ARE	BOUND
31	THAN	ONE	REASON
31	TWO	YEAR	PERIOD
31	TOO	LO(I)NG	SINCE
31	TIE	FOR	FIRST
31	SHE	WAS	SHOWN
31	SHE	WAS	SETT(I)NG
31	SHE	HAS	REALLY
31	SEE	HIM	ALIUE
31	SCY	WAS	BLACC
31	SAW	THAT	MOUIE
31	ONE	WHO	ASCED
31	ONE	WAS	CWITE
31	OFF	HIS	F(I)NGERS
31	NOT	THAT	STRO(I)NG
31	NOT	ONE	SHRED
31	NOT	ONE	PENNY
31	MEN	AND	WHITE
31	MAN	WHO	RAPED
31	MAN	WHO	ASCED
31	MAN	WAS	HOLD(I)NG
31	ITS	OWN	STAFF
31	ITS	AIR	FORCE
31	IDEA	THAT	HUMAN
31	HOW	ONE	COULD
31	HOW	FAR	COULD
31	HOT	TAP	WATER
31	HIS	OWN	INNER
31	HIS	OWN	HORSE
31	HIS	NEW	STORY
31	HIS	HEAD	THROWN
31	HIS	HEAD	RIGHT
31	HIM	OUT	AGAIN
31	HER	REAL	MOTHER
31	HER	AND	COULD
31	HER	ALL	NIGHT
31	HAS	TWO	GROWN
31	HAS	HIS	FIRST
31	HAD	THIS	MORN(I)NG
31	HAD	OUR	SHARE
31	HAD	BIG	PLANS
31	GUY	WHO	THINCS
31	FOR	THIS	NIGHT
31	FOR	THIS	ALBUM
31	FOR	THEY	WOULD
31	FOR	THEM	SINCE
31	FOR	THAT	RIGHT
31	FOR	THAT	CHA(I)NGE
31	FOR	NOT	SPEAC(I)NG
31	FOR	LOW	UISION
31	FOR	HIS	UOICE
31	FOR	HIS	CAUSE
31	FOR	EACH	COLOR
31	FOR	ALL	TIMES
31	FOR	ALL	SEUEN
31	EACH	WITH	ABOUT
31	DOES	THAT	COUNT
31	DOES	NOT	EITHER
31	DO(I)NG	THIS	STUFF
31	DID	NOT	WASTE
31	DID	NOT	SOLUE
31	DID	NOT	JUDGE
31	CAR	YOU	DRIUE
31	CAR	AND	DRIU(I)NG
31	CAN	NOT	SHACE
31	CAN	NOT	JUDGE
31	CAN	BR(I)NG	PEOPLE
31	BUT	WHY	BOTHER
31	BUT	THAT	ALONE
31	BUT	TRY	TELL(I)NG
31	BUT	SHE	FINDS
31	BUT	ONE	MIGHT
31	BOTH	HIS	FATHER
31	BET	YOU	ANYTH(I)NG
31	ARE	YOU	DRUNC
31	ARE	YOU	DRIU(I)NG
31	ARE	TWO	WOMEN
31	ARE	TWO	LARGE
31	ARE	NOW	WILL(I)NG
31	ARE	NOT	CRASY
31	ARE	FAR	WORSE
31	ARE	BE(I)NG	TRIED
31	ARE	NOT	TACEN
31	ARE	NOT	GIUEN
31	ARE	NOT	FEEL(I)NG
31	AND	THUS	AUOID
31	AND	THEY	CREATE
31	AND	THEN	SEND(I)NG
31	AND	THEN	OTHERS
31	AND	THEN	FIRED
31	AND	THAT	ISSUE
31	AND	SHE	FEARED
31	AND	SHE	BROCE
31	AND	RAP	MUSIC
31	AND	ONE	WHERE
31	AND	ONE	ABOUT
31	AND	NEW	HAUEN
31	AND	LO(I)NG	LAST(I)NG
31	AND	JOB	GROWTH
31	AND	GAS	WELLS
31	AND	FOR	LO(I)NGER
31	AND	EAT(I)NG	RIGHT
31	AND	AGE	GROUP
31	ALL	WHO	WOULD
31	ALL	THAT	NEEDS
31	ALL	THAT	BLOOD
31	AGO	AND	STILL
31	NOT	MEAN	PEOPLE
31	NOT	ALL	RIGHT
31	NOT	ADD	ANYTH(I)NG
30	YOU	THAT	WOULD
30	YOU	GOT	RIGHT
30	YOU	GOT	LUCCY
30	YOU	GET	MONEY
30	YOU	CAN	TRULY
30	YOU	CAN	SPREAD
30	YOU	ARE	STAY(I)NG
30	YOU	ARE	FACED
30	WITH	THIS	SEASON
30	WITH	THEM	TODAY
30	WITH	THAT	SMILE
30	WITH	TWO	MAJOR
30	WITH	TWO	GIRLS
30	WITH	SIX	MONTHS
30	WITH	ITS	POWER
30	WITH	HIS	THUMBS
30	WITH	HIS	POWER
30	WITH	HIS	INNER
30	WITH	HIS	CLASS
30	WITH	HER	DRESS
30	WHO	HER	FATHER
30	WHO	HAS	FILED
30	WHO	CAN	SHOOT
30	WHO	CAN	ARGUE
30	WHO	ARE	DRIU(I)NG
30	WAY	THEY	DRESS
30	WAS	ONE	WHERE
30	WAS	HIS	RIGHT
30	WAS	NOT	AFTER
30	WAR	BE(I)NG	WAGED
30	TH(I)NGS	THAT	OTHERS
30	TH(I)NGS	ARE	WORSE
30	TH(I)NGS	ARE	TOUGH
30	THIS	WAY	WOULD
30	THIS	ONE	ISSUE
30	THIS	NEW	HOUSE
30	THIS	GUY	COMES
30	THIS	FOR	MONEY
30	THIS	AREA	WHERE
30	THEY	MAY	SERUE
30	THEY	GOT	CLOSE
30	THEY	DID	TODAY
30	THEY	DID	ANYTH(I)NG
30	THEY	DID	AGREE
30	THEY	CAN	SHOOT
30	THEY	CAN	E(I)NGAGE
30	THEY	BOTH	LIUED
30	THEY	ARE	PULL(I)NG
30	THEY	ARE	PASS(I)NG
30	THEY	ARE	LOUED
30	THEY	ALL	STAND
30	THEY	ALL	COULD
30	THEN	THIS	WHOLE
30	THEN	THEY	BEGIN
30	THEN	SHE	COMES
30	THEN	ONE	WOULD
30	THEM	FOR	ANYTH(I)NG
30	THEM	ARE	GETT(I)NG
30	THEM	ANY	LO(I)NGER
30	THAT	WAS	EIGHT
30	THAT	THIS	REGION
30	THAT	THEY	FIRST
30	THAT	SHE	LIUES
30	THAT	MEN	COULD
30	THAT	LIE	WITHIN
30	THAT	DOES	SOUND
30	THAT	CAN	MATCH
30	THAT	ARE	CREAT(I)NG
30	THAT	ALL	SIDES
30	THAN	TWO	PEOPLE
30	THAN	HER	SHARE
30	TWO	MEN	WOULD
30	TRY	THIS	AGAIN
30	TIE	THAT	BINDS
30	SUN	HAD	RISEN
30	SHE	WAS	HURT(I)NG
30	SHE	WAS	CIDD(I)NG
30	SHE	SAT	ALONE
30	SHE	HAD	HIRED
30	SHE	DID	ABOUT
30	SEE	HOW	BADLY
30	SEE	HER	EUERY
30	SAW	HIM	LOOC(I)NG
30	PUT	YOU	UNDER
30	PAY	FOR	EUERY
30	OUT	FOR	WEECS
30	OUR	OWN	WORST
30	ONE	SHE	WOULD
30	ONE	MAN	COULD
30	ONE	CAN	TOUCH
30	NOW	BE(I)NG	ASCED
30	NOW	AND	MAYBE
30	NOT	HER	MOTHER
30	NOT	FOR	EUERY
30	MET	WITH	PRIME
30	MAY	NOT	COUER
30	MAN	WHO	TRIES
30	LET	HIS	F(I)NGERS
30	ITS	OWN	LEUEL
30	HOW	SHE	MACES
30	HOW	SHE	HATED
30	HIS	SON	COULD
30	HIS	HEAD	BEGAN
30	HIM	FOR	LUNCH
30	HEAR	HIS	WORDS
30	HEAR	HIM	BREATH(I)NG
30	HEAD	AND	UPPER
30	HER	SIX	MONTHS
30	HER	LO(I)NG	WHITE
30	HAS	NOW	GROWN
30	HAS	NOW	BEGUN
30	GOT	ANY	MONEY
30	GET	OUR	PEOPLE
30	FOR	YOU	LATER
30	FOR	THIS	SHIFT
30	FOR	THAT	STORY
30	FOR	THAT	EXTRA
30	FOR	OUR	WORLD
30	FOR	OUR	PANEL
30	FOR	HIS	DAILY
30	FOR	HER	PHONE
30	FOR	HER	BEAUTY
30	FOR	EACH	MAJOR
30	FAR	TOO	CLOSE
30	DOES	SHE	STILL
30	DOES	NOT	BUILD
30	DO(I)NG	THIS	STORY
30	DO(I)NG	AND	WHERE
30	DID	NOT	STATE
30	DID	HIS	FATHER
30	DID	NOT	CHASE
30	DAY	AND	STILL
30	CUT	OFF	FUNDS
30	CUT	HER	THROAT
30	CAN	USE	EITHER
30	BUT	WHY	COULD
30	BUT	WAS	LATER
30	BUT	THIS	STUDY
30	BOY	WAS	STILL
30	BIT	HIS	TO(I)NGUE
30	BIT	HER	TO(I)NGUE
30	BED	AND	TRIED
30	ASC	HER	MOTHER
30	ARE	YOU	LETT(I)NG
30	ARE	YOU	CWITE
30	ARE	NOT	FEEL(I)NG
30	ARE	NOT	ASCED
30	ARE	DO(I)NG	ABOUT
30	ARE	BE(I)NG	THROWN
30	ARE	ALL	SIGNS
30	ARE	ALL	PEOPLE
30	ARE	NOT	BUILT
30	AND	WAS	UOTED
30	AND	WAS	PLAY(I)NG
30	AND	THEY	STUCC
30	AND	THAT	UNDER
30	AND	THAT	TENDS
30	AND	THAT	ABOUT
30	AND	SIX	WOMEN
30	AND	PUT	ASIDE
30	AND	ONE	EUEN(I)NG
30	AND	NOT	THINC(I)NG
30	AND	NEW	PEOPLE
30	AND	HIS	FIONCE
30	AND	HIS	CHILD
30	AND	HER	CNEES
30	AND	HAS	OFTEN
30	AND	BIN	LADEN
30	ALL	THIS	NOISE
30	ALL	TOO	HAPPY
30	ALL	SHE	WROTE
30	NOT	YOU	WATCH
30	NOT	YOU	STAND
30	NOT	YOU	SLEEP
30	NOT	THAT	WHERE
30	NOT	THAT	WEIRD
30	NOT	TRY	ANYTH(I)NG
29	YOU	PUT	MONEY
29	YOU	OFF	GUARD
29	YOU	HAD	HOPED
29	YOU	FOR	MONEY
29	YOU	CAN	SMOCE
29	YOU	CAN	MARRY
29	YOU	ARE	SMART
29	WITH	YOU	WHILE
29	WITH	THIS	LEUEL
29	WITH	THIS	CRIME
29	WITH	ONE	LARGE
29	WITH	HIS	BROAD
29	WITH	HER	WOULD
29	WITH	BOTH	FISTS
29	WHY	ARE	WOMEN
29	WHO	WAS	PUSH(I)NG
29	WHO	WAS	OLDER
29	WHO	WAS	EITHER
29	WHO	HAD	SLEPT
29	WHO	HAD	OFTEN
29	WHO	CAN	CREATE
29	WHO	CAN	CLAIM
29	WHO	ARE	WRIT(I)NG
29	WHO	ARE	STRO(I)NG
29	WEAC	AND	STRO(I)NG
29	WAY	YOU	SLICE
29	WAY	THEY	NEUER
29	WAY	SHE	LICED
29	WAS	THIS	ABOUT
29	WAS	TOO	HARSH
29	US(I)NG	THAT	MONEY
29	TH(I)NGS	THEY	NEUER
29	TH(I)NGS	THEY	MIGHT
29	TH(I)NGS	GET	TOUGH
29	TH(I)NGS	ARE	RIGHT
29	THIS	ONE	WOMAN
29	THIS	NEW	ORDER
29	THIS	FOR	CWITE
29	THIS	ANY	LO(I)NGER
29	THEY	TOO	COULD
29	THEY	PAY	TAXES
29	THEY	MAY	BEGIN
29	THEY	CAN	TOUCH
29	THEY	ARE	E(I)NGAG(I)NG
29	THEN	THIS	WOULD
29	THEN	THEY	ASCED
29	THEN	SHE	STOPS
29	THEM	FOR	MONTHS
29	THAT	YOU	FOLCS
29	THAT	WAS	WITHIN
29	THAT	WAS	SPENT
29	THAT	WAS	BURN(I)NG
29	THAT	WAR	WOULD
29	THAT	THEY	STOOD
29	THAT	TWO	THIRDS
29	THAT	ONE	CHILD
29	THAT	HER	STORY
29	THAT	HAS	PEOPLE
29	THAT	HAS	ABOUT
29	THAT	HAD	SHOWN
29	THAT	HAD	FOUND
29	THAT	HAD	EARNED
29	THAT	CAN	EXIST
29	THAT	CAN	EITHER
29	THAT	CAN	BLOCC
29	THAT	CAN	ALLOW
29	THAT	BIG	HOUSE
29	THAT	ARE	WAIT(I)NG
29	THAT	ARE	PLAY(I)NG
29	THAT	ARE	GEARED
29	THAT	ALL	CINDS
29	THAN	ONE	LEUEL
29	TWO	CAR	BOMBS
29	TRY	AND	CATCH
29	SHE	READ	ALOUD
29	SHE	HAD	CWITE
29	SEE	HOW	HAPPY
29	SEE	ANY	CHA(I)NGE
29	SAY	YOU	NEUER
29	SAY	THEY	REALLY
29	SAY	THAT	ANYTH(I)NG
29	PUT	HIS	STAMP
29	OUT	HIS	PHONE
29	OUT	BIG	BUCCS
29	OUT	AND	MOUED
29	ONE	CAN	CLAIM
29	OFF	FOR	ABOUT
29	NOW	AND	WHERE
29	NOW	AND	STILL
29	NOT	THAT	WOMEN
29	NOT	HER	FIRST
29	NEW	ONE	EUERY
29	MEAN	YOU	WOULD
29	MAY	YET	PROUE
29	MAY	NOT	SERUE
29	MAY	NOT	ALLOW
29	MAY	BR(I)NG	ABOUT
29	MAP	THAT	SHOWS
29	LO(I)NG	THAT	WOULD
29	LAW	THAT	GIUES
29	ITS	OWN	STYLE
29	ITS	OWN	LIGHT
29	HOW	LO(I)NG	PEOPLE
29	HIS	TEAM	FOUND
29	HIS	HEAD	BOBB(I)NG
29	HIS	HEAD	ACHED
29	HEAR	HIS	MOTHER
29	HER	TWO	FRONT
29	HER	AND	OTHERS
29	HAS	NOT	TRIED
29	HAS	ALL	SORTS
29	HAD	THIS	IMAGE
29	HAD	NOT	GROWN
29	HAD	ITS	WORLD
29	HAD	NOT	CRIED
29	GUY	THAT	COULD
29	GOT	THIS	WHOLE
29	GOT	THIS	RIGHT
29	GET	THAT	SENSE
29	GET	THAT	FIRST
29	FOR	YOU	WHILE
29	FOR	THAT	WOMAN
29	FOR	THAT	ALONE
29	FOR	NOT	HELP(I)NG
29	FOR	NOT	CALL(I)NG
29	FOR	HIS	MORN(I)NG
29	FOR	HIS	LARGE
29	FOR	HIS	BRIDE
29	FOR	HIS	BOOCS
29	FOR	HIM	SINCE
29	FOR	HER	LOUER
29	FOR	EACH	REGION
29	FOR	BIG	BUCCS
29	DRY	AND	DUSTY
29	DOES	NOT	BUILD
